n,training_time
1,0.0
2,0.0
3,6.6365
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,8.0266
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,7.9957
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,8.0101
34,0.0
35,7.9888
36,0.0
37,8.0005
38,0.0
39,8.0094
40,0.0
41,1.0071
42,0.0
43,8.0074
44,0.0
45,0.0
46,8.0031
47,7.9987
48,0.0
49,0.0
50,8.013
51,0.0
52,0.0
53,8.0145
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.8299
70,0.0
71,0.0
72,0.0
73,0.0
74,1.7363
75,0.0
76,0.0
77,0.0
78,0.8847
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,8.0006
86,2.2285
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,8.0024
94,0.0
95,5.0268
96,0.0
97,8.0
98,0.0
99,8.0022
100,0.0
101,0.0
102,0.0
103,8.0392
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,7.9337
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,6.0804
123,6.1522
124,0.0
125,0.0
126,2.2656
127,2.4969
128,0.0
129,0.0
130,0.0
131,0.0
132,5.513
133,0.0
134,0.0
135,0.0
136,8.0033
137,0.0
138,8.001
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,7.9921
146,7.9906
147,0.0
148,0.0
149,4.0264
150,0.0
151,7.9903
152,0.0
153,0.0
154,0.0
155,7.9648
156,0.0
157,3.5113
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,8.3282
164,0.0
165,0.0
166,7.4614
167,1.6751
168,8.3623
169,0.0
170,0.0
171,1.8328
172,2.0395
173,0.0
174,10.5709
175,1.1961
176,0.0
177,0.0
178,0.0
179,8.0394
180,8.0106
181,7.9993
182,8.0329
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,4.0121
190,0.0
191,0.0
192,1.9881
193,8.0282
194,0.0
195,8.0154
196,0.0
197,0.0
198,0.0
199,7.9993
200,4.0749
201,7.1163
202,1.1555
203,0.0
204,0.0
205,3.1407
206,7.9779
207,0.0
208,0.0
209,8.0066
210,8.0077
211,0.0
212,7.9991
213,7.9942
214,9.5478
215,6.514
216,0.0
217,2.97
218,8.0215
219,8.0089
220,4.3805
221,8.5124
222,0.0
223,8.0892
224,7.995
225,0.0
226,0.0
227,0.0
228,0.8991
229,8.0301
230,6.6168
231,0.0
232,5.5098
233,7.9935
234,7.9999
235,0.0
